step,molecule_id,molecule_type,measurement_type,measurement_id,value,equilibrium,deviation
0,0,methane,bond,0,1.083986,1.090000,0.006014
0,0,methane,bond,1,1.095714,1.090000,0.005714
0,0,methane,bond,2,1.080938,1.090000,0.009062
0,0,methane,bond,3,1.102957,1.090000,0.012957
0,0,methane,angle,0,110.937009,109.500000,1.437009
0,0,methane,angle,1,110.071314,109.500000,0.571314
0,0,methane,angle,2,109.136521,109.500000,0.363479
0,0,methane,angle,3,109.663638,109.500000,0.163638
0,0,methane,angle,4,107.959021,109.500000,1.540979
0,0,methane,angle,5,109.023343,109.500000,0.476657
0,1,water,bond,0,0.958080,0.960000,0.001920
0,1,water,bond,1,0.966436,0.960000,0.006436
0,1,water,angle,0,104.856255,104.500000,0.356255
0,2,co2,bond,0,1.165067,1.160000,0.005067
0,2,co2,bond,1,1.149337,1.160000,0.010663
0,2,co2,angle,0,178.916505,180.000000,1.083495
0,3,ammonia,bond,0,0.999494,1.010000,0.010506
0,3,ammonia,bond,1,1.010453,1.010000,0.000453
0,3,ammonia,bond,2,1.010627,1.010000,0.000627
0,3,ammonia,angle,0,105.939589,107.000000,1.060411
0,3,ammonia,angle,1,107.624489,107.000000,0.624489
0,3,ammonia,angle,2,105.863331,107.000000,1.136669
0,4,acetylene,bond,0,1.060669,1.060000,0.000669
0,4,acetylene,bond,1,1.193396,1.200000,0.006604
0,4,acetylene,bond,2,1.065341,1.060000,0.005341
0,4,acetylene,angle,0,178.328335,180.000000,1.671665
0,4,acetylene,angle,1,178.401245,180.000000,1.598755
0,5,hcl,bond,0,1.273482,1.270000,0.003482
5,0,methane,bond,0,1.085187,1.090000,0.004813
5,0,methane,bond,1,1.096974,1.090000,0.006974
5,0,methane,bond,2,1.083360,1.090000,0.006640
5,0,methane,bond,3,1.101654,1.090000,0.011654
5,0,methane,angle,0,110.782183,109.500000,1.282183
5,0,methane,angle,1,109.972507,109.500000,0.472507
5,0,methane,angle,2,109.197895,109.500000,0.302105
5,0,methane,angle,3,109.484135,109.500000,0.015865
5,0,methane,angle,4,108.013987,109.500000,1.486013
5,0,methane,angle,5,109.352550,109.500000,0.147450
5,1,water,bond,0,0.960632,0.960000,0.000632
5,1,water,bond,1,0.968458,0.960000,0.008458
5,1,water,angle,0,104.858597,104.500000,0.358597
5,2,co2,bond,0,1.165138,1.160000,0.005138
5,2,co2,bond,1,1.149677,1.160000,0.010323
5,2,co2,angle,0,178.909053,180.000000,1.090947
5,3,ammonia,bond,0,1.002606,1.010000,0.007394
5,3,ammonia,bond,1,1.009190,1.010000,0.000810
5,3,ammonia,bond,2,1.006464,1.010000,0.003536
5,3,ammonia,angle,0,105.916683,107.000000,1.083317
5,3,ammonia,angle,1,107.583909,107.000000,0.583909
5,3,ammonia,angle,2,105.808058,107.000000,1.191942
5,4,acetylene,bond,0,1.060017,1.060000,0.000017
5,4,acetylene,bond,1,1.193481,1.200000,0.006519
5,4,acetylene,bond,2,1.066249,1.060000,0.006249
5,4,acetylene,angle,0,178.233553,180.000000,1.766447
5,4,acetylene,angle,1,178.256814,180.000000,1.743186
5,5,hcl,bond,0,1.272696,1.270000,0.002696
10,0,methane,bond,0,1.086423,1.090000,0.003577
10,0,methane,bond,1,1.098271,1.090000,0.008271
10,0,methane,bond,2,1.085829,1.090000,0.004171
10,0,methane,bond,3,1.100386,1.090000,0.010386
10,0,methane,angle,0,110.627483,109.500000,1.127483
10,0,methane,angle,1,109.872824,109.500000,0.372824
10,0,methane,angle,2,109.258572,109.500000,0.241428
10,0,methane,angle,3,109.304086,109.500000,0.195914
10,0,methane,angle,4,108.068702,109.500000,1.431298
10,0,methane,angle,5,109.681083,109.500000,0.181083
10,1,water,bond,0,0.963218,0.960000,0.003218
10,1,water,bond,1,0.970513,0.960000,0.010513
10,1,water,angle,0,104.860584,104.500000,0.360584
10,2,co2,bond,0,1.165207,1.160000,0.005207
10,2,co2,bond,1,1.150024,1.160000,0.009976
10,2,co2,angle,0,178.897967,180.000000,1.102033
10,3,ammonia,bond,0,1.005709,1.010000,0.004291
10,3,ammonia,bond,1,1.007964,1.010000,0.002036
10,3,ammonia,bond,2,1.002336,1.010000,0.007664
10,3,ammonia,angle,0,105.892847,107.000000,1.107153
10,3,ammonia,angle,1,107.540352,107.000000,0.540352
10,3,ammonia,angle,2,105.752243,107.000000,1.247757
10,4,acetylene,bond,0,1.059343,1.060000,0.000657
10,4,acetylene,bond,1,1.193572,1.200000,0.006428
10,4,acetylene,bond,2,1.067128,1.060000,0.007128
10,4,acetylene,angle,0,178.134424,180.000000,1.865576
10,4,acetylene,angle,1,178.110421,180.000000,1.889579
10,5,hcl,bond,0,1.271887,1.270000,0.001887
15,0,methane,bond,0,1.087693,1.090000,0.002307
15,0,methane,bond,1,1.099601,1.090000,0.009601
15,0,methane,bond,2,1.088348,1.090000,0.001652
15,0,methane,bond,3,1.099151,1.090000,0.009151
15,0,methane,angle,0,110.472922,109.500000,0.972922
15,0,methane,angle,1,109.772317,109.500000,0.272317
15,0,methane,angle,2,109.318490,109.500000,0.181510
15,0,methane,angle,3,109.123610,109.500000,0.376390
15,0,methane,angle,4,108.123130,109.500000,1.376870
15,0,methane,angle,5,110.008891,109.500000,0.508891
15,1,water,bond,0,0.965836,0.960000,0.005836
15,1,water,bond,1,0.972601,0.960000,0.012601
