step,atom_id,type,fx_lj,fy_lj,fz_lj
0,0,C,0.000000,-0.000007,0.000002
0,1,H,0.000020,0.000021,0.000021
0,2,H,0.000018,-0.000019,-0.000018
0,3,H,-0.000022,0.000021,-0.000022
0,4,H,-0.000017,-0.000017,0.000016
0,5,O,-0.000010,-0.000135,-0.000002
0,6,H,0.000088,0.000074,0.000001
0,7,H,-0.000083,0.000064,0.000001
0,8,O,-0.000066,-0.000003,0.000000
0,9,C,-0.000014,0.000001,0.000001
0,10,O,0.000084,-0.000000,-0.000001
0,11,N,-0.000013,-0.000002,0.000108
0,12,H,-0.017607,-0.000119,-0.016196
0,13,H,-0.000042,0.000073,-0.000034
0,14,H,-0.000043,-0.000071,-0.000034
0,15,H,0.017656,0.000121,0.016154
0,16,C,-0.000023,-0.000002,-0.000001
0,17,C,0.000026,0.000001,0.000001
0,18,H,-0.001272,0.000007,0.000004
0,19,H,0.001306,-0.000007,-0.000004
0,20,Cl,0.000010,-0.000000,0.000000
5,0,C,0.000000,-0.000006,0.000001
5,1,H,0.000020,0.000020,0.000021
5,2,H,0.000018,-0.000018,-0.000018
5,3,H,-0.000021,0.000021,-0.000021
5,4,H,-0.000017,-0.000017,0.000017
5,5,O,-0.000009,-0.000131,-0.000002
5,6,H,0.000085,0.000071,0.000001
5,7,H,-0.000081,0.000062,0.000001
5,8,O,-0.000066,-0.000003,0.000000
5,9,C,-0.000013,0.000001,0.000001
5,10,O,0.000083,-0.000000,-0.000001
5,11,N,-0.000006,0.000001,0.000109
5,12,H,-0.018619,-0.000163,-0.017192
5,13,H,-0.000043,0.000074,-0.000034
5,14,H,-0.000046,-0.000075,-0.000036
5,15,H,0.018664,0.000164,0.017153
5,16,C,-0.000023,-0.000002,-0.000001
5,17,C,0.000027,0.000001,0.000001
5,18,H,-0.001290,0.000004,-0.000003
5,19,H,0.001324,-0.000004,0.000003
5,20,Cl,0.000010,-0.000000,0.000000
10,0,C,0.000000,-0.000005,0.000001
10,1,H,0.000020,0.000020,0.000021
10,2,H,0.000017,-0.000018,-0.000018
10,3,H,-0.000020,0.000020,-0.000020
10,4,H,-0.000017,-0.000017,0.000017
10,5,O,-0.000008,-0.000127,-0.000002
10,6,H,0.000082,0.000069,0.000001
