step,molecule_id,molecule_type,measurement_type,measurement_id,value,equilibrium,deviation
0,0,methane,bond,0,1.088046,1.090000,0.001954
0,0,methane,bond,1,1.101440,1.090000,0.011440
0,0,methane,bond,2,1.096785,1.090000,0.006785
0,0,methane,bond,3,1.073606,1.090000,0.016394
0,0,methane,angle,0,109.857058,109.500000,0.357058
0,0,methane,angle,1,109.464513,109.500000,0.035487
0,0,methane,angle,2,110.290209,109.500000,0.790209
0,0,methane,angle,3,108.374701,109.500000,1.125299
0,0,methane,angle,4,109.400319,109.500000,0.099681
0,0,methane,angle,5,109.422967,109.500000,0.077033
0,1,water,bond,0,0.956675,0.960000,0.003325
0,1,water,bond,1,0.976939,0.960000,0.016939
0,1,water,angle,0,104.396231,104.500000,0.103769
0,2,co2,bond,0,1.161629,1.160000,0.001629
0,2,co2,bond,1,1.151828,1.160000,0.008172
0,2,co2,angle,0,179.676044,180.000000,0.323956
0,3,ammonia,bond,0,0.994367,1.010000,0.015633
0,3,ammonia,bond,1,1.000115,1.010000,0.009885
0,3,ammonia,bond,2,1.019602,1.010000,0.009602
0,3,ammonia,angle,0,107.617506,107.000000,0.617506
0,3,ammonia,angle,1,106.775351,107.000000,0.224649
0,3,ammonia,angle,2,107.020141,107.000000,0.020141
0,4,acetylene,bond,0,1.060446,1.060000,0.000446
0,4,acetylene,bond,1,1.200335,1.200000,0.000335
0,4,acetylene,bond,2,1.073324,1.060000,0.013324
0,4,acetylene,angle,0,179.140775,180.000000,0.859225
0,4,acetylene,angle,1,179.139719,180.000000,0.860281
0,5,hcl,bond,0,1.253978,1.270000,0.016022
5,0,methane,bond,0,1.085724,1.090000,0.004276
5,0,methane,bond,1,1.102629,1.090000,0.012629
5,0,methane,bond,2,1.096191,1.090000,0.006191
5,0,methane,bond,3,1.073924,1.090000,0.016076
5,0,methane,angle,0,109.613610,109.500000,0.113610
5,0,methane,angle,1,109.615568,109.500000,0.115568
5,0,methane,angle,2,110.317839,109.500000,0.817839
5,0,methane,angle,3,108.578831,109.500000,0.921169
5,0,methane,angle,4,109.435807,109.500000,0.064193
5,0,methane,angle,5,109.250972,109.500000,0.249028
5,1,water,bond,0,0.954901,0.960000,0.005099
5,1,water,bond,1,0.977113,0.960000,0.017113
5,1,water,angle,0,104.465489,104.500000,0.034511
5,2,co2,bond,0,1.161681,1.160000,0.001681
5,2,co2,bond,1,1.152083,1.160000,0.007917
5,2,co2,angle,0,179.656892,180.000000,0.343108
5,3,ammonia,bond,0,0.994325,1.010000,0.015675
5,3,ammonia,bond,1,1.002927,1.010000,0.007073
5,3,ammonia,bond,2,1.019041,1.010000,0.009041
5,3,ammonia,angle,0,107.704822,107.000000,0.704822
5,3,ammonia,angle,1,106.787756,107.000000,0.212244
5,3,ammonia,angle,2,106.971986,107.000000,0.028014
5,4,acetylene,bond,0,1.060604,1.060000,0.000604
5,4,acetylene,bond,1,1.199644,1.200000,0.000356
5,4,acetylene,bond,2,1.073820,1.060000,0.013820
5,4,acetylene,angle,0,179.122510,180.000000,0.877490
5,4,acetylene,angle,1,179.117275,180.000000,0.882725
5,5,hcl,bond,0,1.251897,1.270000,0.018103
10,0,methane,bond,0,1.083471,1.090000,0.006529
10,0,methane,bond,1,1.103887,1.090000,0.013887
10,0,methane,bond,2,1.095675,1.090000,0.005675
10,0,methane,bond,3,1.074312,1.090000,0.015688
10,0,methane,angle,0,109.370525,109.500000,0.129475
10,0,methane,angle,1,109.767308,109.500000,0.267308
10,0,methane,angle,2,110.345819,109.500000,0.845819
10,0,methane,angle,3,108.783278,109.500000,0.716722
10,0,methane,angle,4,109.470510,109.500000,0.029490
10,0,methane,angle,5,109.078375,109.500000,0.421625
10,1,water,bond,0,0.953192,0.960000,0.006808
10,1,water,bond,1,0.977351,0.960000,0.017351
