step,temp,pot_energy,kin_energy,total_energy
5,181.935319,0.0,0.000000,0.000000
10,184.431029,0.0,0.000000,0.000000
15,187.293634,0.0,0.000000,0.000000
20,190.807862,0.0,0.000000,0.000000
25,194.097535,0.0,0.000000,0.000000
30,197.852802,0.0,0.000000,0.000000
35,202.015779,0.0,0.000000,0.000000
40,206.471705,0.0,0.000000,0.000000
45,210.987793,0.0,0.000000,0.000000
50,215.949333,0.0,0.000000,0.000000
55,221.521032,0.0,0.000000,0.000000
60,226.790986,0.0,0.000000,0.000000
65,232.714187,0.0,0.000000,0.000000
70,239.096883,0.0,0.000000,0.000000
75,245.357289,0.0,0.000000,0.000000
80,252.241216,0.0,0.000000,0.000000
85,259.094596,0.0,0.000000,0.000000
90,266.228664,0.0,0.000000,0.000000
95,273.792247,0.0,0.000000,0.000000
100,281.779859,0.0,0.000000,0.000000
105,289.842219,0.0,0.000000,0.000000
110,298.498492,0.0,0.000000,0.000000
115,307.314300,0.0,0.000000,0.000000
120,316.566877,0.0,0.000000,0.000000
125,326.285574,0.0,0.000000,0.000000
130,336.035204,0.0,0.000000,0.000000
135,345.787445,0.0,0.000000,0.000000
140,356.186301,0.0,0.000000,0.000000
145,366.630005,0.0,0.000000,0.000000
150,377.745719,0.0,0.000000,0.000000
155,388.850899,0.0,0.000000,0.000000
160,400.548749,0.0,0.000000,0.000000
165,412.377147,0.0,0.000000,0.000000
170,424.648721,0.0,0.000000,0.000000
175,437.222391,0.0,0.000000,0.000000
180,450.095318,0.0,0.000000,0.000000
185,463.171042,0.0,0.000000,0.000000
190,476.512036,0.0,0.000000,0.000000
195,489.812336,0.0,0.000000,0.000000
200,503.785932,0.0,0.000000,0.000000
205,518.445568,0.0,0.000000,0.000000
210,533.201033,0.0,0.000000,0.000000
215,547.709314,0.0,0.000000,0.000000
220,562.948000,0.0,0.000000,0.000000
225,578.402770,0.0,0.000000,0.000000
230,594.099535,0.0,0.000000,0.000000
235,610.068814,0.0,0.000000,0.000000
240,626.044794,0.0,0.000000,0.000000
245,642.922162,0.0,0.000000,0.000000
250,659.695105,0.0,0.000000,0.000000
