step,atom_id,type,fx_lj,fy_lj,fz_lj
0,0,C,0.000005,0.000003,-0.000008
0,1,H,0.000020,0.000020,0.000020
0,2,H,0.000017,-0.000017,-0.000017
0,3,H,-0.000018,0.000018,-0.000018
0,4,H,-0.000024,-0.000024,0.000023
0,5,O,-0.000023,-0.000129,0.000001
0,6,H,0.000090,0.000075,-0.000000
0,7,H,-0.000072,0.000056,-0.000001
0,8,O,-0.000068,-0.000002,0.000000
0,9,C,-0.000008,0.000000,0.000000
0,10,O,0.000081,-0.000001,-0.000001
0,11,N,-0.000020,-0.000018,0.000109
0,12,H,-0.023994,-0.000464,-0.021628
0,13,H,-0.000048,0.000083,-0.000038
0,14,H,-0.000037,-0.000065,-0.000030
0,15,H,0.024051,0.000464,0.021587
0,16,C,-0.000018,-0.000000,0.000001
0,17,C,0.000025,0.000001,-0.000001
0,18,H,-0.001097,-0.000004,-0.000020
0,19,H,0.001126,0.000004,0.000020
0,20,Cl,0.000013,-0.000000,-0.000000
5,0,C,0.000005,0.000002,-0.000008
5,1,H,0.000020,0.000021,0.000020
5,2,H,0.000017,-0.000017,-0.000017
5,3,H,-0.000018,0.000018,-0.000018
5,4,H,-0.000023,-0.000024,0.000023
5,5,O,-0.000025,-0.000130,0.000001
5,6,H,0.000092,0.000077,-0.000000
5,7,H,-0.000072,0.000055,-0.000001
5,8,O,-0.000068,-0.000002,0.000001
5,9,C,-0.000008,0.000000,0.000000
5,10,O,0.000081,-0.000001,-0.000001
5,11,N,-0.000022,-0.000014,0.000108
5,12,H,-0.023782,-0.000469,-0.021579
5,13,H,-0.000047,0.000080,-0.000036
5,14,H,-0.000038,-0.000065,-0.000030
5,15,H,0.023840,0.000469,0.021538
5,16,C,-0.000018,-0.000000,0.000001
5,17,C,0.000026,0.000001,-0.000001
5,18,H,-0.001045,-0.000006,-0.000021
5,19,H,0.001073,0.000006,0.000021
5,20,Cl,0.000013,-0.000000,-0.000000
10,0,C,0.000004,0.000001,-0.000009
10,1,H,0.000021,0.000021,0.000021
10,2,H,0.000016,-0.000016,-0.000016
10,3,H,-0.000018,0.000018,-0.000018
10,4,H,-0.000023,-0.000023,0.000023
10,5,O,-0.000027,-0.000132,0.000001
10,6,H,0.000095,0.000079,-0.000001
10,7,H,-0.000071,0.000055,-0.000001
10,8,O,-0.000068,-0.000002,0.000001
10,9,C,-0.000008,0.000000,0.000000
10,10,O,0.000081,-0.000001,-0.000001
10,11,N,-0.000023,-0.000011,0.000107
10,12,H,-0.023499,-0.000473,-0.021464
10,13,H,-0.000045,0.000077,-0.000035
10,14,H,-0.000038,-0.000065,-0.000030
10,15,H,0.023556,0.000472,0.021422
10,16,C,-0.000019,-0.000000,0.000001
10,17,C,0.000027,0.000001,-0.000001
10,18,H,-0.000993,-0.000008,-0.000021
10,19,H,0.001020,0.000007,0.000022
10,20,Cl,0.000013,-0.000000,-0.000000
15,0,C,0.000004,-0.000000,-0.000010
15,1,H,0.000022,0.000022,0.000021
15,2,H,0.000016,-0.000016,-0.000016
15,3,H,-0.000019,0.000018,-0.000018
15,4,H,-0.000023,-0.000023,0.000023
15,5,O,-0.000030,-0.000133,0.000002
15,6,H,0.000097,0.000080,-0.000001
15,7,H,-0.000071,0.000055,-0.000001
15,8,O,-0.000068,-0.000002,0.000001
15,9,C,-0.000008,0.000000,0.000000
15,10,O,0.000081,-0.000001,-0.000001
15,11,N,-0.000025,-0.000008,0.000106
15,12,H,-0.023149,-0.000475,-0.021285
15,13,H,-0.000043,0.000074,-0.000034
15,14,H,-0.000038,-0.000066,-0.000030
15,15,H,0.023207,0.000474,0.021243
15,16,C,-0.000019,-0.000000,0.000001
15,17,C,0.000027,0.000001,-0.000001
15,18,H,-0.000941,-0.000009,-0.000022
15,19,H,0.000968,0.000009,0.000022
15,20,Cl,0.000014,-0.000000,-0.000000
20,0,C,0.000003,-0.000001,-0.000010
20,1,H,0.000022,0.000023,0.000021
20,2,H,0.000016,-0.000016,-0.000016
20,3,H,-0.000019,0.000018,-0.000019
20,4,H,-0.000023,-0.000023,0.000023
20,5,O,-0.000032,-0.000134,0.000002
20,6,H,0.000099,0.000082,-0.000001
20,7,H,-0.000071,0.000054,-0.000001
20,8,O,-0.000068,-0.000002,0.000001
20,9,C,-0.000008,0.000001,0.000000
20,10,O,0.000080,-0.000001,-0.000001
20,11,N,-0.000026,-0.000004,0.000104
20,12,H,-0.022734,-0.000476,-0.021042
20,13,H,-0.000042,0.000072,-0.000032
