step,atom_id,type,x,y,z
5,0,C,9.99359,9.99848,10.0078
5,1,H,10.6304,10.6324,10.6337
5,2,H,10.6217,9.37123,9.37646
5,3,H,9.36677,10.6375,9.36325
5,4,H,9.37747,9.38139,10.6306
5,5,O,15.0004,10.0094,9.99972
5,6,H,15.7536,10.5892,10.0048
5,7,H,14.2389,10.5799,9.99099
10,0,C,9.99424,9.99891,10.0078
10,1,H,10.631,10.6312,10.6349
10,2,H,10.6225,9.37066,9.37774
10,3,H,9.3656,10.6374,9.36319
10,4,H,9.37776,9.38209,10.6305
10,5,O,15.0008,10.0091,9.99938
10,6,H,15.7547,10.59,10.0032
10,7,H,14.2377,10.5794,9.99036
15,0,C,9.9949,9.99933,10.0078
15,1,H,10.6316,10.6301,10.6361
15,2,H,10.6234,9.37006,9.37899
15,3,H,9.36439,10.6373,9.36309
15,4,H,9.37801,9.38275,10.6303
15,5,O,15.0012,10.0088,9.99905
15,6,H,15.7559,10.5909,10.0016
15,7,H,14.2364,10.5789,9.98971
20,0,C,9.99556,9.99976,10.0078
20,1,H,10.6322,10.629,10.6374
20,2,H,10.6243,9.36943,9.3802
20,3,H,9.36315,10.6372,9.36295
20,4,H,9.37822,9.38339,10.6303
20,5,O,15.0016,10.0086,9.99872
20,6,H,15.7571,10.5918,9.99991
20,7,H,14.235,10.5785,9.98907
25,0,C,9.99622,10.0002,10.0078
25,1,H,10.6329,10.628,10.6387
25,2,H,10.6252,9.36876,9.38138
25,3,H,9.36188,10.6372,9.36278
25,4,H,9.3784,9.38399,10.6302
25,5,O,15.002,10.0083,9.99839
25,6,H,15.7583,10.5927,9.99826
25,7,H,14.2336,10.5781,9.98843
30,0,C,9.99689,10.0006,10.0078
30,1,H,10.6336,10.627,10.64
30,2,H,10.6261,9.36805,9.38252
30,3,H,9.36057,10.6372,9.36258
30,4,H,9.37854,9.38455,10.6302
30,5,O,15.0024,10.008,9.99805
30,6,H,15.7596,10.5937,9.99662
30,7,H,14.2322,10.5777,9.98779
35,0,C,9.99755,10.0011,10.0078
35,1,H,10.6343,10.626,10.6414
35,2,H,10.6271,9.36731,9.38363
35,3,H,9.35923,10.6373,9.36234
35,4,H,9.37865,9.38509,10.6303
35,5,O,15.0028,10.0077,9.99772
35,6,H,15.761,10.5947,9.99497
35,7,H,14.2307,10.5774,9.98714
40,0,C,9.99822,10.0015,10.0078
40,1,H,10.6351,10.6251,10.6428
40,2,H,10.6281,9.36653,9.38471
40,3,H,9.35785,10.6373,9.36206
40,4,H,9.37872,9.38558,10.6303
40,5,O,15.0032,10.0074,9.99739
40,6,H,15.7624,10.5957,9.99333
40,7,H,14.2291,10.577,9.98649
45,0,C,9.99889,10.002,10.0078
45,1,H,10.6359,10.6242,10.6442
45,2,H,10.6291,9.36572,9.38575
45,3,H,9.35644,10.6374,9.36175
45,4,H,9.37875,9.38605,10.6304
45,5,O,15.0036,10.0071,9.99705
45,6,H,15.7638,10.5968,9.99169
45,7,H,14.2276,10.5768,9.98584
50,0,C,9.99956,10.0024,10.0078
50,1,H,10.6368,10.6234,10.6457
50,2,H,10.6302,9.36487,9.38676
50,3,H,9.35499,10.6376,9.36141
50,4,H,9.37876,9.38647,10.6305
50,5,O,15.004,10.0068,9.99672
50,6,H,15.7653,10.5979,9.99005
50,7,H,14.2259,10.5765,9.9852
55,0,C,10.0002,10.0029,10.0078
55,1,H,10.6377,10.6225,10.6472
55,2,H,10.6313,9.364,9.38773
55,3,H,9.35352,10.6378,9.36103
55,4,H,9.37872,9.38686,10.6307
55,5,O,15.0044,10.0065,9.99639
55,6,H,15.7668,10.5991,9.9884
55,7,H,14.2242,10.5763,9.98455
60,0,C,10.0009,10.0033,10.0077
60,1,H,10.6386,10.6218,10.6487
60,2,H,10.6324,9.36308,9.38867
60,3,H,9.352,10.638,9.36061
60,4,H,9.37866,9.38722,10.6309
60,5,O,15.0048,10.0062,9.99605
60,6,H,15.7684,10.6003,9.98676
60,7,H,14.2225,10.5762,9.98389
65,0,C,10.0016,10.0038,10.0077
65,1,H,10.6396,10.621,10.6503
65,2,H,10.6336,9.36214,9.38957
