# Molecule topology - bond and angle information
molecule_id,molecule_type,atom_count,bond_count,angle_count
0,methane,5,4,6
1,water,3,2,1
2,co2,3,2,1
3,ammonia,4,3,3
4,acetylene,4,3,2
5,hcl,2,1,0

# Bond details
molecule_id,bond_id,atom1,atom2,equilibrium_length
0,0,0,1,1.090000
0,1,0,2,1.090000
0,2,0,3,1.090000
0,3,0,4,1.090000
1,0,5,6,0.960000
1,1,5,7,0.960000
2,0,8,9,1.160000
2,1,9,10,1.160000
3,0,11,12,1.010000
3,1,11,13,1.010000
3,2,11,14,1.010000
4,0,15,16,1.060000
4,1,16,17,1.200000
4,2,17,18,1.060000
5,0,19,20,1.270000

# Angle details
molecule_id,angle_id,atom1,atom2,atom3,equilibrium_angle
0,0,1,0,2,109.500000
0,1,1,0,3,109.500000
0,2,1,0,4,109.500000
0,3,2,0,3,109.500000
0,4,2,0,4,109.500000
0,5,3,0,4,109.500000
1,0,6,5,7,104.500000
2,0,8,9,10,180.000000
3,0,12,11,13,107.000000
3,1,12,11,14,107.000000
3,2,13,11,14,107.000000
4,0,15,16,17,180.000000
4,1,16,17,18,180.000000
