step,atom_id,type,x,y,z,vx,vy,vz,fx,fy,fz,mass
0,0,C,10.009048,10.007644,9.993973,-566.460414,-65.883474,195.603268,0.000000,0.000000,0.000000,12.000000
0,1,H,10.623030,10.630220,10.634638,1971.524312,176.885478,-477.398809,0.000000,0.000000,0.000000,1.000000
0,2,H,10.630400,9.360933,9.364469,751.735668,1216.882928,-1980.178992,0.000000,0.000000,0.000000,1.000000
0,3,H,9.378616,10.625494,9.370079,1488.754532,3368.772492,-2629.245522,0.000000,0.000000,0.000000,1.000000
0,4,H,9.371841,9.361460,10.620812,1836.509358,-475.570250,-111.998431,0.000000,0.000000,0.000000,1.000000
0,5,O,13.003301,9.995333,9.997147,103.854222,-6.700093,-248.580964,0.000000,0.000000,0.000000,16.000000
0,6,H,13.762215,10.580015,10.007845,1921.480863,1800.305802,-1103.880637,0.000000,0.000000,0.000000,1.000000
0,7,H,12.236861,10.583941,10.007530,-1700.748710,925.751005,178.365213,0.000000,0.000000,0.000000,1.000000
0,8,O,14.836247,9.993824,10.008160,64.728519,383.696131,196.927336,0.000000,0.000000,0.000000,16.000000
0,9,C,16.001251,10.005847,10.006738,144.143231,-256.351492,292.827756,0.000000,0.000000,0.000000,12.000000
0,10,O,17.150462,10.002191,9.990117,469.167270,-91.965569,-592.412726,0.000000,0.000000,0.000000,16.000000
0,11,N,10.008960,12.992678,10.007975,-105.283127,-474.158649,378.634751,0.000000,0.000000,0.000000,14.000000
0,12,H,10.927745,13.001496,9.614598,3338.704660,812.427296,529.881277,0.000000,0.000000,0.000000,1.000000
0,13,H,9.538692,13.804559,9.632859,231.973203,-2111.471004,-134.464588,0.000000,0.000000,0.000000,1.000000
0,14,H,9.521860,12.191995,9.629810,3666.911133,2800.051496,-229.176839,0.000000,0.000000,0.000000,1.000000
0,15,H,11.339420,13.004289,9.990289,639.228296,1596.078445,-224.402990,0.000000,0.000000,0.000000,1.000000
0,16,C,12.400018,12.991959,9.990509,-19.346955,-186.745450,420.703907,0.000000,0.000000,0.000000,12.000000
0,17,C,13.593187,13.009454,10.005866,54.761018,318.576018,349.690183,0.000000,0.000000,0.000000,12.000000
0,18,H,14.658484,13.006163,9.996640,961.058209,-1902.102568,-976.445142,0.000000,0.000000,0.000000,1.000000
0,19,H,15.355169,13.002620,9.994439,205.478009,-335.966417,2665.720841,0.000000,0.000000,0.000000,1.000000
0,20,Cl,16.628616,12.997645,10.002426,-546.473479,-98.857982,-157.985960,0.000000,0.000000,0.000000,35.500000
5,0,C,10.008482,10.007577,9.994169,-566.280630,-67.480849,196.018842,0.000000,-0.000000,0.000000,12.000000
5,1,H,10.625012,10.630408,10.634172,1987.892025,194.885006,-459.340071,0.000000,0.000000,0.000000,1.000000
5,2,H,10.631161,9.362140,9.362478,766.308587,1200.180748,-1997.841708,0.000000,-0.000000,-0.000000,1.000000
5,3,H,9.380096,10.628874,9.367439,1474.136137,3386.222648,-2646.632973,-0.000000,0.000000,-0.000000,1.000000
5,4,H,9.373668,9.360972,10.620711,1820.858757,-495.689943,-92.887423,-0.000000,-0.000000,0.000000,1.000000
5,5,O,13.003405,9.995324,9.996899,103.678773,-9.690332,-248.526791,-0.000000,-0.000000,-0.000000,16.000000
5,6,H,13.764150,10.581826,10.006740,1945.392507,1818.533636,-1104.780717,0.000000,0.000000,0.000000,1.000000
5,7,H,12.235146,10.584877,10.007707,-1724.415824,943.546751,175.852818,-0.000000,0.000000,0.000000,1.000000
